Obs_Report_Result : [

                           ______________________
                          |                      |
                          |   Observer Report    |
                          |______________________| 


___________________________________________________________________________________________________________


 TPIC   |    Vessel: Barbaros H.P | Client: Turkiye Petrolleri | Job No BPA000719 | Job name: LEFKOSA-4 3D | Area: Eastern Mediterra
___________________________________________________________________________________________________________


 Date: 29 Dec 2019  LineName: TPLA19-1018P1003               Sequence Number:     3
_________________________________________________________________________________________________________
          |          |           |         |         |    Gun string's pressure        |                 |
   Orca   |   Seal   |   Shot    |   File  |   Nav   |      STBD      |      PORT      |  DEAD CHANNELS  |
   Time   |   Time   |   Point   |  Number | Header  | GS 1/GS 2/GS 3 | GS 4/GS 5/GS 6 | OR OTHER ERRORS |
__________|__________|___________|_________|_________|________________|________________|_________________|
 00:25:59 | 00:25:59 |    1771.0 |    1116 |   5751  | 2022/2013/2021 | 2022/2006/2022 |   
 00:26:09 | 00:26:09 |    1772.0 |    1117 |   5751  | 2021/2008/2024 | 2021/2019/2021 |   
 00:26:20 | 00:26:20 |    1773.0 |    1118 |   5751  | 2022/2014/2021 | 2022/2008/2022 |   
 00:26:30 | 00:26:30 |    1774.0 |    1119 |   5751  | 2021/2009/2024 | 2022/2020/2022 |   
 00:26:41 | 00:26:41 |    1775.0 |    1120 |   5751  | 2022/2014/2022 | 2022/2007/2022 |   
 00:26:51 | 00:26:51 |    1776.0 |    1121 |   5751  | 2022/2009/2024 | 2022/2020/2021 |   
 00:27:02 | 00:27:02 |    1777.0 |    1122 |   5751  | 2022/2014/2022 | 2022/2006/2022 |   
 00:27:12 | 00:27:12 |    1778.0 |    1123 |   5751  | 2022/2007/2025 | 2022/2020/2021 |   
 00:27:23 | 00:27:23 |    1779.0 |    1124 |   5751  | 2022/2012/2021 | 2022/2006/2022 |   
 00:27:33 | 00:27:33 |    1780.0 |    1125 |   5751  | 2022/2008/2024 | 2022/2020/2021 |   
 00:27:44 | 00:27:44 |    1781.0 |    1126 |   5751  | 2021/2013/2021 | 2022/2005/2021 |   
 00:27:55 | 00:27:55 |    1782.0 |    1127 |   5751  | 2022/2007/2024 | 2021/2019/2020 |   
 00:28:05 | 00:28:05 |    1783.0 |    1128 |   5751  | 2024/2017/2024 | 2023/2013/2023 |   
 00:28:16 | 00:28:16 |    1784.0 |    1129 |   5751  | 2022/1999/2023 | 2020/2019/2020 |   
 00:28:26 | 00:28:26 |    1785.0 |    1130 |   5751  | 2022/2015/2023 | 2022/2012/2022 |   
 00:28:37 | 00:28:37 |    1786.0 |    1131 |   5751  | 2020/2011/2024 | 2022/2020/2021 |   
 00:28:48 | 00:28:48 |    1787.0 |    1132 |   5751  | 2021/2014/2021 | 2021/2008/2021 |   
 00:28:58 | 00:28:58 |    1788.0 |    1133 |   5751  | 2021/2008/2023 | 2021/2019/2020 |   
 00:29:09 | 00:29:09 |    1789.0 |    1134 |   5751  | 2021/2013/2020 | 2021/2008/2021 |   
 00:29:19 | 00:29:19 |    1790.0 |    1135 |   5751  | 2020/2007/2023 | 2020/2019/2020 |   
 00:29:30 | 00:29:30 |    1791.0 |    1136 |   5751  | 2020/2012/2020 | 2021/2005/2020 |   
 00:29:41 | 00:29:41 |    1792.0 |    1137 |   5751  | 2021/2005/2023 | 2020/2018/2019 |   
 00:29:51 | 00:29:51 |    1793.0 |    1138 |   5751  | 2023/2015/2023 | 2022/2013/2022 |   
 00:30:02 | 00:30:02 |    1794.0 |    1139 |   5751  | 2021/2004/2022 | 2019/2018/2019 |   
 00:30:12 | 00:30:12 |    1795.0 |    1140 |   5751  | 2023/2015/2022 | 2022/2011/2022 |   
 00:30:23 | 00:30:23 |    1796.0 |    1141 |   5751  | 2020/2004/2022 | 2019/2017/2018 |   
 00:30:33 | 00:30:33 |    1797.0 |    1142 |   5751  | 2021/2014/2022 | 2021/2011/2021 |   
 00:30:44 | 00:30:44 |    1798.0 |    1143 |   5751  | 2020/2003/2021 | 2018/2017/2018 |   
 00:30:54 | 00:30:54 |    1799.0 |    1144 |   5751  | 2021/2014/2021 | 2020/2009/2021 |   
 00:31:05 | 00:31:05 |    1800.0 |    1145 |   5751  | 2020/1994/2020 | 2017/2016/2017 |   
 00:31:15 | 00:31:15 |    1801.0 |    1146 |   5751  | 2020/2013/2021 | 2020/2009/2020 |   
 00:31:26 | 00:31:26 |    1802.0 |    1147 |   5751  | 2019/2000/2020 | 2016/2015/2016 |   
 00:31:36 | 00:31:36 |    1803.0 |    1148 |   5751  | 2020/2013/2020 | 2019/2009/2020 |   
 00:31:47 | 00:31:47 |    1804.0 |    1149 |   5751  | 2019/2000/2020 | 2016/2015/2016 |   
 00:31:57 | 00:31:57 |    1805.0 |    1150 |   5751  | 2020/2012/2020 | 2019/2008/2020 |   
 00:32:08 | 00:32:08 |    1806.0 |    1151 |   5751  | 2018/1999/2018 | 2015/2013/2014 |   
 00:32:19 | 00:32:19 |    1807.0 |    1152 |   5751  | 2018/2011/2018 | 2018/2006/2018 |   
 00:32:29 | 00:32:29 |    1808.0 |    1153 |   5751  | 2017/2006/2021 | 2018/2017/2018 |   
 00:32:40 | 00:32:40 |    1809.0 |    1154 |   5751  | 2018/2011/2018 | 2018/2004/2018 |   
 00:32:50 | 00:32:50 |    1810.0 |    1155 |   5751  | 2017/2004/2020 | 2017/2016/2017 |   
 00:33:01 | 00:33:01 |    1811.0 |    1156 |   5751  | 2018/2010/2017 | 2018/2002/2018 |   
 00:33:11 | 00:33:11 |    1812.0 |    1157 |   5751  | 2016/2002/2019 | 2016/2014/2016 |   
 00:33:22 | 00:33:22 |    1813.0 |    1158 |   5751  | 2017/2006/2016 | 2017/2002/2016 |   
 00:33:32 | 00:33:32 |    1814.0 |    1159 |   5751  | 2017/2003/2019 | 2016/2014/2016 |   
 00:33:43 | 00:33:43 |    1815.0 |    1160 |   5751  | 2016/2008/2016 | 2016/2000/2016 |   
 00:33:54 | 00:33:54 |    1816.0 |    1161 |   5751  | 2017/2002/2019 | 2016/2015/2016 |   
 00:34:04 | 00:34:04 |    1817.0 |    1162 |   5751  | 2016/2008/2016 | 2017/2000/2016 |   
 00:34:15 | 00:34:15 |    1818.0 |    1163 |   5751  | 2016/2001/2019 | 2015/2014/2015 |   
 00:34:25 | 00:34:25 |    1819.0 |    1164 |   5751  | 2018/2011/2019 | 2018/2008/2018 |   
 00:34:36 | 00:34:36 |    1820.0 |    1165 |   5751  | 2017/2000/2018 | 2015/2014/2014 |   
 00:34:46 | 00:34:46 |    1821.0 |    1166 |   5751  | 2018/2010/2018 | 2017/2006/2018 |   
 00:34:57 | 00:34:57 |    1822.0 |    1167 |   5751  | 2016/1992/2017 | 2014/2013/2014 |   
 00:35:07 | 00:35:07 |    1823.0 |    1168 |   5751  | 2017/2010/2018 | 2017/2006/2017 |   
 00:35:18 | 00:35:18 |    1824.0 |    1169 |   5751  | 2017/1997/2018 | 2014/2013/2014 |   
 00:35:29 | 00:35:29 |    1825.0 |    1170 |   5751  | 2018/2010/2018 | 2017/2006/2018 |   
 00:35:39 | 00:35:39 |    1826.0 |    1171 |   5751  | 2016/1995/2016 | 2013/2011/2013 |   
 00:35:50 | 00:35:50 |    1827.0 |    1172 |   5751  | 2016/2009/2016 | 2016/2004/2016 |   
 00:36:00 | 00:36:00 |    1828.0 |    1173 |   5751  | 2015/2004/2019 | 2016/2015/2016 |   
 00:36:11 | 00:36:11 |    1829.0 |    1174 |   5751  | 2016/2008/2016 | 2016/2003/2016 |   
 00:36:21 | 00:36:21 |    1830.0 |    1175 |   5751  | 2016/2003/2019 | 2016/2014/2016 |   
 00:36:32 | 00:36:32 |    1831.0 |    1176 |   5751  | 2016/2006/2016 | 2016/2001/2016 |   
 00:36:43 | 00:36:43 |    1832.0 |    1177 |   5751  | 2016/2002/2018 | 2015/2014/2015 |   
 00:36:53 | 00:36:53 |    1833.0 |    1178 |   5751  | 2018/2010/2019 | 2017/2010/2017 |   
 00:37:04 | 00:37:04 |    1834.0 |    1179 |   5751  | 2016/1993/2018 | 2015/2013/2014 |   
 00:37:14 | 00:37:14 |    1835.0 |    1180 |   5751  | 2018/2010/2018 | 2017/2007/2018 |   
 00:37:25 | 00:37:25 |    1836.0 |    1181 |   5751  | 2017/1999/2018 | 2014/2013/2014 |   
 00:37:35 | 00:37:35 |    1837.0 |    1182 |   5751  | 2017/2010/2018 | 2017/2006/2018 |   
 00:37:46 | 00:37:46 |    1838.0 |    1183 |   5751  | 2016/1997/2017 | 2014/2012/2014 |   
 00:37:57 | 00:37:57 |    1839.0 |    1184 |   5751  | 2016/2009/2017 | 2017/2004/2017 |   
 00:38:07 | 00:38:07 |    1840.0 |    1185 |   5751  | 2015/2004/2019 | 2016/2015/2016 |   
 00:38:18 | 00:38:18 |    1841.0 |    1186 |   5751  | 2017/2008/2017 | 2017/2002/2016 |   
 00:38:28 | 00:38:28 |    1842.0 |    1187 |   5751  | 2015/2003/2018 | 2015/2014/2015 |   
 00:38:39 | 00:38:39 |    1843.0 |    1188 |   5751  | 2016/2006/2016 | 2016/2001/2016 |   
 00:38:49 | 00:38:49 |    1844.0 |    1189 |   5751  | 2016/2001/2019 | 2016/2014/2015 |   
 00:39:00 | 00:39:00 |    1845.0 |    1190 |   5751  | 2015/2007/2015 | 2016/2000/2015 |   
 00:39:11 | 00:39:11 |    1846.0 |    1191 |   5751  | 2014/2001/2018 | 2014/2013/2014 |   
 00:39:21 | 00:39:21 |    1847.0 |    1192 |   5751  | 2016/2009/2017 | 2015/2006/2016 |   
 00:39:32 | 00:39:32 |    1848.0 |    1193 |   5751  | 2015/1997/2017 | 2013/2011/2012 |   
 00:39:43 | 00:39:43 |    1849.0 |    1194 |   5751  | 2016/2009/2016 | 2016/2004/2016 |   
 00:39:53 | 00:39:53 |    1850.0 |    1195 |   5751  | 2015/2004/2019 | 2016/2015/2016 |   
 00:40:04 | 00:40:04 |    1851.0 |    1196 |   5751  | 2015/2008/2015 | 2015/2003/2015 |   
 00:40:14 | 00:40:14 |    1852.0 |    1197 |   5751  | 2015/2003/2018 | 2016/2014/2015 |   
 00:40:25 | 00:40:25 |    1853.0 |    1198 |   5751  | 2015/2007/2015 | 2016/2002/2015 |   
 00:40:35 | 00:40:35 |    1854.0 |    1199 |   5751  | 2015/2002/2018 | 2015/2013/2014 |   
 00:40:46 | 00:40:46 |    1855.0 |    1200 |   5751  | 2015/2007/2015 | 2015/1999/2015 |   
 00:40:57 | 00:40:57 |    1856.0 |    1201 |   5751  | 2015/1999/2017 | 2014/2012/2014 |   
 00:41:07 | 00:41:07 |    1857.0 |    1202 |   5751  | 2017/2010/2018 | 2016/2007/2017 |   
 00:41:18 | 00:41:18 |    1858.0 |    1203 |   5751  | 2015/1999/2017 | 2013/2012/2013 |   
 00:41:28 | 00:41:28 |    1859.0 |    1204 |   5751  | 2017/2009/2017 | 2016/2006/2017 |   
 00:41:39 | 00:41:39 |    1860.0 |    1205 |   5751  | 2015/2005/2019 | 2017/2016/2016 |   
 00:41:50 | 00:41:50 |    1861.0 |    1206 |   5751  | 2017/2009/2017 | 2016/2003/2016 |   
 00:42:00 | 00:42:00 |    1862.0 |    1207 |   5751  | 2016/2002/2019 | 2015/2014/2015 |   
 00:42:11 | 00:42:11 |    1863.0 |    1208 |   5751  | 2015/2008/2016 | 2016/2000/2015 |   
 00:42:22 | 00:42:22 |    1864.0 |    1209 |   5751  | 2016/2001/2018 | 2015/2013/2014 |   
 00:42:32 | 00:42:32 |    1865.0 |    1210 |   5751  | 2018/2010/2018 | 2017/2007/2017 |   
 00:42:43 | 00:42:43 |    1866.0 |    1211 |   5751  | 2017/1999/2018 | 2014/2013/2014 |   
 00:42:53 | 00:42:53 |    1867.0 |    1212 |   5751  | 2016/2008/2017 | 2016/2005/2016 |   
